order_id,order_date,ship_date,delivery_date,warehouse_id,destination_region,product_category,carrier,shipping_cost,delivery_status
ORD-10000,2025-04-13,2025-04-16,2025-04-20,TX-03,Midwest,Sports,FedEx,36.43,On-Time
ORD-10001,2025-06-29,2025-07-01,2025-07-06,CA-02,Midwest,Home & Kitchen,UPS,20.63,On-Time
ORD-10002,2025-04-03,2025-04-04,,NY-01,West,Electronics,FedEx,24.58,Lost
ORD-10003,2025-01-15,2025-01-17,2025-01-20,TX-03,Midwest,Apparel,UPS,15.62,On-Time
ORD-10004,2025-04-17,2025-04-18,2025-04-22,TX-03,West,Apparel,USPS,38.85,On-Time
ORD-10005,2025-03-13,2025-03-17,2025-03-22,TX-03,Northeast,Home & Kitchen,UPS,38.17,On-Time
ORD-10006,2025-01-21,2025-01-22,2025-01-26,CA-02,Northeast,Electronics,FedEx,6.0,On-Time
ORD-10007,2025-04-13,2025-04-15,2025-04-19,IL-04,Midwest,Apparel,UPS,7.71,On-Time
ORD-10008,2025-05-02,2025-05-04,2025-05-07,CA-02,South,Home & Kitchen,UPS,46.51,On-Time
ORD-10009,2025-03-16,2025-03-21,2025-03-24,TX-03,West,Beauty,UPS,45.0,On-Time
ORD-10010,2025-03-29,2025-03-30,2025-04-03,NY-01,Midwest,Sports,UPS,27.77,On-Time
ORD-10011,2025-04-27,2025-04-28,2025-04-30,TX-03,Midwest,Home & Kitchen,UPS,27.2,On-Time
ORD-10012,2025-04-10,2025-04-11,2025-04-14,IL-04,South,Apparel,DHL,41.56,On-Time
ORD-10013,2025-04-14,2025-04-15,2025-04-16,NY-01,West,Electronics,FedEx,11.23,On-Time
ORD-10014,2025-06-01,2025-06-02,2025-06-10,NY-01,Midwest,Beauty,UPS,34.42,Late
ORD-10015,2025-05-11,2025-05-13,2025-05-16,CA-02,South,Electronics,UPS,26.42,On-Time
ORD-10016,2025-05-30,2025-05-31,2025-06-03,CA-02,West,Electronics,UPS,38.45,On-Time
ORD-10017,2025-02-22,2025-02-23,2025-02-27,IL-04,Northeast,Electronics,FedEx,6.35,On-Time
